Date,Time,ST,GS,Check,Weight,Unit,Pump-Status,Voltage (V),Current (A),Power (W),Energy (Wh),Operation Time,Flow (L/min),Frequency (Hz),Total Flow (L),Intake Air Temperature (°C),Intake Air Velocity,Intake Air Humidity (%),Outtake Air Temperature (°C),Outtake Air Velocity,Outtake Air Humidity (% )
2026-03-24,14:25:15,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:00,0.539,25.2,0.0898,,,,,,
2026-03-24,14:25:16,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:01,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:17,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:02,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:18,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:03,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:19,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:04,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:20,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:05,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:21,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:06,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:22,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:07,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:23,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:08,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:24,ST,GS,+,1.1828,kg,0,120.2,2.558,307.5,0.854,00:00:09,0.539,25.2,0.0898,21.6,1.09 m/s,26.1,26.6,2.18 m/s,31.8
2026-03-24,14:25:25,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:10,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:26,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:11,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:27,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:12,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:28,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:13,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:29,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:14,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:30,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:15,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:31,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:16,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:32,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:17,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:33,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:18,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:34,ST,GS,+,2.4005,kg,0,121.7,2.814,342.5,1.806,00:00:19,0.675,31.5,0.2023,20.2,0.67 m/s,38.6,26.8,1.67 m/s,40.9
2026-03-24,14:25:35,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:20,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:36,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:21,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
2026-03-24,14:25:37,ST,GS,+,2.9715,kg,0,118.1,0.667,78.8,2.024,00:00:22,0.797,37.2,0.3352,26.6,1.04 m/s,31.2,23.8,1.84 m/s,51.4
