station_id,parameter,start,end
2,humidity,2025-08-09 00:00:00+00:00,2025-08-12 00:00:00+00:00
3,humidity,2026-07-10 00:00:00+00:00,2026-07-14 00:00:00+00:00
3,humidity,2026-07-20 00:00:00+00:00,2026-07-21 00:00:00+00:00
3,weight,2026-05-08 00:00:00+00:00,2026-05-09 00:00:00+00:00
5,temperature,2025-09-08 00:00:00+00:00,2025-09-09 00:00:00+00:00
5,temperature,2026-02-13 00:00:00+00:00,2026-02-18 00:00:00+00:00
5,temperature,2026-02-24 00:00:00+00:00,2026-03-07 00:00:00+00:00
5,temperature,2026-03-11 00:00:00+00:00,2026-03-20 00:00:00+00:00
5,temperature,2026-03-21 00:00:00+00:00,2026-04-08 00:00:00+00:00
5,temperature,2026-04-15 00:00:00+00:00,2026-04-30 00:00:00+00:00
5,humidity,2026-02-13 00:00:00+00:00,2026-02-18 00:00:00+00:00
5,humidity,2026-02-24 00:00:00+00:00,2026-03-07 00:00:00+00:00
5,humidity,2026-03-11 00:00:00+00:00,2026-03-20 00:00:00+00:00
5,humidity,2026-03-21 00:00:00+00:00,2026-04-08 00:00:00+00:00
5,humidity,2026-04-15 00:00:00+00:00,2026-04-30 00:00:00+00:00
5,power,2026-04-14 00:00:00+00:00,2026-04-16 00:00:00+00:00
5,power,2026-04-19 00:00:00+00:00,2026-04-20 00:00:00+00:00
5,power,2026-04-21 00:00:00+00:00,2026-04-23 00:00:00+00:00
5,power,2026-04-25 00:00:00+00:00,2026-04-27 00:00:00+00:00
5,power,2026-05-02 00:00:00+00:00,2026-05-04 00:00:00+00:00
5,power,2026-05-05 00:00:00+00:00,2026-05-06 00:00:00+00:00
6,power,2026-06-10 00:00:00+00:00,2026-06-27 00:00:00+00:00
7,temperature,2026-01-21 00:00:00+00:00,2026-01-22 00:00:00+00:00
7,humidity,2026-01-21 00:00:00+00:00,2026-01-22 00:00:00+00:00
7,power,2026-01-23 00:00:00+00:00,2026-01-24 00:00:00+00:00
