anomaly_type,n_windows,n_faults,detection_recall,attribution_given_detected,fold
drift,174,7,0.9367816091954023,0.3067484662576687,0
dropout,76,9,1.0,0.40789473684210525,0
spike,57,10,1.0,0.8947368421052632,0
stuck_at,103,7,0.8349514563106796,0.6162790697674418,0
drift,228,8,1.0,0.20175438596491227,1
dropout,52,7,1.0,0.11538461538461539,1
spike,53,9,1.0,0.0,1
stuck_at,115,8,1.0,0.0,1
drift,204,7,1.0,0.7009803921568627,2
dropout,80,11,1.0,0.3625,2
spike,57,10,1.0,0.6666666666666666,2
stuck_at,70,5,1.0,0.15714285714285714,2
drift,217,7,0.7096774193548387,0.8896103896103896,3
dropout,23,3,0.7391304347826086,1.0,3
spike,36,6,0.8333333333333334,1.0,3
stuck_at,51,5,0.47058823529411764,0.6666666666666666,3
drift,242,10,0.8884297520661157,0.27906976744186046,4
dropout,58,8,1.0,0.7586206896551724,4
spike,23,4,1.0,0.5217391304347826,4
stuck_at,112,9,1.0,0.07142857142857142,4
